Bongardt,邦加特
Harwich,哈里奇
Hayle,海尔
Heysham,希舍姆
Holyhead,霍利黑
Hound,霍德角
Hull,赫尔
Hunterston,亨特斯
Immingham,伊明赫
Invergordon,因弗戈
Inverness,因弗内
Ipswich,伊普斯
Irvine,欧文
Grain,谷岛
Kilkeel,基尔基
Killingholme,基林霍
Lynn,金斯林
Kirkcaldy,柯克沃
Lochalsh,洛哈尔
Lame,朗姆
Lancaster,兰开斯
Largs,拉格斯
Larne,拉恩
Leith,利斯
Lerwick,勒威克
Littlehampton,利特尔
Liverpool,利物浦
Llanddulas,兰杜拉
Llanelli,拉内利
Boisdale,洛赫博
Maddy,洛赫马
Pier,洛哈林
Londonderry,伦敦德
Looe,卢港
Lossiemouth,洛西茅
Lowestoft,洛斯托
Lybster,利布斯
Lydney,利德
Macduff,麦克达
Maldon,莫尔登
Mallaig,马莱格
Manchester,曼彻斯
Methil,梅西尔
Mevagissey,梅瓦吉
Middlesbrough,米德尔
Millom,米勒姆
Minehead,迈恩黑
Mistley,米斯特
Montrose,蒙特罗
Mostyn,莫斯廷
Nairn,奈恩
Neath,尼思
Newburgh,纽堡
Newcastle,纽卡斯
Newhaven,纽黑文
Newlyn,纽林
Newport,纽波特
Newry,纽里
Sunderland,森德兰
Norwich,诺里奇
Oban,奥本
Pdstow,帕德斯
Palnackie,帕尔纳
Par,帕
Parkeston,帕克斯
Partington,帕廷顿
Peel,皮尔
Pembroke,彭布罗
Penmaenmawr,彭迈恩
Penryn,彭林
Penzance,彭赞斯
Perth,珀斯
Peterhead,彼得黑
Plymouth,普利茅
Poole,普尔
Askaig,波塔斯
Ellen,埃伦
St.Mary,圣马里
Talbot,塔尔伯
Portbury,波尔特
Porthmadog,波特马
Portishead,波蒂斯
Bill,特兰角
Portladn,波特兰
Portree,波特里
Portrush,波特拉
Portsmouth,波次茅
Preston,普雷斯
Pwllheli,普尔黑
Queenborough,昆伯勒
Queensferry,昆斯费
Rainham,雷纳姆
Ramsey,拉姆西
Ramsgate,拉姆斯
Redcar,雷德卡
Rhyl,里尔
Richborough,里奇伯
Ridham,利德哈
Rochester,罗切斯
Rosyth,罗赛斯
Rothesay,罗斯西
Runcorn,朗科恩
Rye,拉伊
Sandwich,桑迪
Sandwich,桑德威
Sanudersfoot,桑德斯
Scalloway,斯卡洛
Scapa,斯卡帕
Scrabster,斯克拉
Seaham,锡厄姆
Selby,塞尔比
Sharpness,夏普内
Haven,谢尔赫
Shoreham,肖勒姆
Southampton,南安普
Southend,绍森德
St.Helier,圣赫利
St.Ives,圣艾夫
Hope,圣马格
Port,圣彼德
Stanlow,斯坦洛
Stockton,斯托克
Stonehaven,斯通黑
Stornoway,斯托诺
Strangford,斯特兰
Stranraer,斯兰拉
Stromness,斯特罗
Sullom,萨洛姆
Sunderland,森德兰
Bridge,萨顿布
Swansea,斯旺西
Tarbert,塔伯特
Teesport,提兹港
Teignmouth,廷茅斯
Tenby,滕比
Terminal,特奈特
Thurso,瑟索
Tilbury,蒂尔伯
Tobermory,托伯莫
Topsham,托普瑟
Torquay,托基
Totnes,托特尼
Troon,特伦
Truro,特鲁罗
Dock,太恩
Ullapool,阿勒浦
Warkworth,沃克沃
Warren,伦波因
Watchet,沃切特
